extract_date,specimen_date,Number_tested,Number_confirmed,Number_hospitalized,Number_deaths
05/02/2020,03/11/2020,790,177,62,22
05/02/2020,04/04/2020,6144,3716,1342,444
05/02/2020,04/30/2020,4843,638,2,2
05/02/2020,04/03/2020,9395,5535,1701,605
05/02/2020,02/27/2020,1,0,0,1
05/02/2020,03/18/2020,6277,3128,655,172
05/02/2020,03/24/2020,7067,4469,1304,428
05/02/2020,04/02/2020,9268,5655,1731,569
05/02/2020,03/04/2020,32,6,5,1
05/02/2020,04/27/2020,9730,2014,230,12
05/02/2020,04/05/2020,6163,3581,1305,424
05/02/2020,04/10/2020,7513,4149,1145,373
05/02/2020,04/06/2020,10778,6167,1753,618
05/02/2020,03/07/2020,61,11,7,3
05/02/2020,03/06/2020,79,11,4,2
05/02/2020,02/26/2020,1,0,0,0
05/02/2020,02/05/2020,1,0,0,0
05/02/2020,04/29/2020,9573,1759,59,3
05/02/2020,04/07/2020,10410,5817,1566,549
05/02/2020,04/09/2020,9023,4814,1280,424
05/02/2020,02/29/2020,2,1,0,0
05/02/2020,04/14/2020,9280,3988,907,227
05/02/2020,03/08/2020,109,27,16,4
05/02/2020,03/15/2020,2347,1087,286,81
05/02/2020,03/29/2020,4785,3435,1347,444
05/02/2020,04/22/2020,11219,3289,347,62
05/02/2020,03/17/2020,5518,2563,514,130
05/02/2020,03/05/2020,63,5,3,1
05/02/2020,03/13/2020,2158,683,193,45
05/02/2020,04/23/2020,9784,2621,297,47
05/02/2020,03/01/2020,1,0,0,0
05/02/2020,03/25/2020,7467,4819,1404,440
05/02/2020,03/30/2020,8425,5960,1799,641
05/02/2020,02/04/2020,1,0,0,0
05/02/2020,03/21/2020,4703,2655,751,232
05/02/2020,04/18/2020,6418,2053,416,80
05/02/2020,02/09/2020,1,0,0,0
05/02/2020,04/20/2020,11323,3607,440,91
05/02/2020,03/03/2020,11,2,0,0
05/02/2020,03/10/2020,456,86,38,9
05/02/2020,04/28/2020,10945,2280,185,10
05/02/2020,02/28/2020,1,0,0,0
05/02/2020,03/20/2020,7751,4119,888,243
05/02/2020,03/31/2020,7580,5189,1602,578
05/02/2020,03/28/2020,4640,3407,1324,485
05/02/2020,03/19/2020,7699,3873,806,217
05/16/2020,05/12/2020,14401,1145,57,5
05/16/2020,04/23/2020,9954,2768,438,108
05/16/2020,03/23/2020,5631,3661,1201,363
05/16/2020,03/16/2020,4947,2244,490,114
05/16/2020,05/04/2020,10949,1477,135,31
05/16/2020,04/03/2020,9530,5677,1811,666
05/16/2020,03/24/2020,7188,4601,1412,470
05/16/2020,04/12/2020,5735,2828,924,326
05/16/2020,05/05/2020,11166,1450,128,11
05/16/2020,04/25/2020,6126,1564,291,57
05/16/2020,04/15/2020,9857,3814,929,283
05/16/2020,04/28/2020,11840,2638,319,52
05/16/2020,03/31/2020,7909,5463,1788,686
05/16/2020,02/02/2020,2,0,2,0
05/16/2020,04/30/2020,10624,1950,227,48
05/16/2020,02/24/2020,1,0,0,0
05/16/2020,03/01/2020,2,1,0,0
05/16/2020,04/19/2020,6725,2299,514,127
05/16/2020,03/20/2020,7788,4170,962,256
05/16/2020,03/27/2020,7398,5127,1679,566
05/16/2020,04/20/2020,11408,3719,641,158
05/16/2020,02/26/2020,1,0,1,0
05/03/2020,03/03/2020,11,2,0,0
05/03/2020,04/19/2020,6678,2222,388,81
05/03/2020,02/02/2020,2,0,0,0
05/03/2020,03/10/2020,456,86,38,9
05/03/2020,04/14/2020,9285,3995,906,235
05/03/2020,04/29/2020,10850,1891,148,6
05/03/2020,03/05/2020,63,5,3,1
05/03/2020,03/14/2020,1704,687,218,60
05/03/2020,04/08/2020,9995,5355,1485,524
05/03/2020,04/13/2020,6601,3161,1004,275
05/03/2020,02/28/2020,1,0,0,0
05/03/2020,04/17/2020,10045,3407,552,134
05/03/2020,03/16/2020,4938,2227,465,108
05/03/2020,02/04/2020,1,0,0,0
05/03/2020,04/24/2020,9251,2293,279,34
05/03/2020,03/06/2020,79,11,4,2
05/03/2020,03/20/2020,7761,4129,889,246
05/03/2020,03/28/2020,4640,3408,1324,490
05/03/2020,04/20/2020,11338,3619,444,95
05/03/2020,04/04/2020,6145,3715,1342,451
05/03/2020,04/30/2020,8310,1371,50,3
05/03/2020,03/18/2020,6278,3134,655,172
05/03/2020,04/21/2020,9627,2937,424,96
05/03/2020,04/16/2020,9430,3375,583,146
05/03/2020,03/23/2020,5566,3593,1124,345
05/03/2020,03/09/2020,397,69,30,14
05/03/2020,02/27/2020,1,0,0,1
05/03/2020,04/01/2020,7902,5033,1397,530
05/03/2020,04/27/2020,9950,2072,235,12
05/03/2020,04/23/2020,9863,2670,301,51
05/03/2020,04/02/2020,9267,5658,1732,574
05/03/2020,03/27/2020,7287,5015,1565,538
05/03/2020,03/31/2020,7580,5190,1600,581
05/03/2020,04/07/2020,10417,5825,1568,555
05/03/2020,04/11/2020,6743,3487,917,280
05/03/2020,03/07/2020,61,11,7,3
05/03/2020,04/18/2020,6420,2055,416,86
05/03/2020,02/29/2020,2,1,0,0
05/03/2020,04/09/2020,9027,4818,1279,432
05/03/2020,03/26/2020,7173,4970,1592,516
05/03/2020,04/06/2020,10781,6172,1755,622
05/03/2020,03/21/2020,4715,2668,757,234
05/03/2020,04/22/2020,11247,3303,352,67
05/03/2020,03/08/2020,109,27,16,4
05/03/2020,03/15/2020,2348,1090,287,82
05/03/2020,03/11/2020,790,177,62,22
05/03/2020,03/12/2020,1564,394,87,29
05/03/2020,03/22/2020,4375,2630,848,247
05/03/2020,03/17/2020,5519,2566,514,130
05/03/2020,03/19/2020,7702,3876,808,222
05/03/2020,02/26/2020,1,0,0,0
05/03/2020,05/01/2020,4113,485,4,0
05/03/2020,03/24/2020,7078,4483,1314,433
05/03/2020,04/15/2020,9735,3723,733,211
05/03/2020,04/26/2020,4289,913,192,20
05/03/2020,02/08/2020,1,0,0,0
05/03/2020,01/23/2020,1,1,0,0
05/03/2020,04/03/2020,9402,5538,1704,609
05/03/2020,03/29/2020,4785,3437,1348,448
05/03/2020,02/09/2020,1,0,0,0
05/03/2020,03/30/2020,8429,5963,1799,645
05/03/2020,04/05/2020,6163,3582,1305,430
05/03/2020,04/12/2020,5583,2662,823,268
05/03/2020,03/13/2020,2158,683,193,45
05/03/2020,05/02/2020,95,9,0,0
05/03/2020,04/10/2020,7521,4155,1147,377
05/03/2020,03/25/2020,7467,4822,1404,441
05/03/2020,03/02/2020,4,0,0,0
05/03/2020,03/04/2020,32,6,5,1
05/03/2020,04/25/2020,6037,1462,201,23
05/03/2020,03/01/2020,1,0,0,0
05/03/2020,02/05/2020,1,0,0,0
05/03/2020,04/28/2020,11231,2356,200,12
05/04/2020,03/21/2020,4715,2667,756,236
05/04/2020,03/28/2020,4641,3408,1324,490
05/04/2020,04/28/2020,11384,2419,200,15
05/04/2020,03/23/2020,5569,3596,1127,348
05/04/2020,02/08/2020,1,0,0,0
05/04/2020,04/07/2020,10419,5828,1572,565
05/04/2020,03/12/2020,1564,394,87,29
05/04/2020,03/22/2020,4375,2630,849,248
05/04/2020,02/09/2020,1,0,0,0
05/04/2020,03/02/2020,4,0,0,0
05/04/2020,03/25/2020,7467,4822,1405,444
05/04/2020,03/11/2020,790,177,62,22
05/04/2020,02/02/2020,2,0,0,0
05/04/2020,04/23/2020,9880,2687,305,58
05/04/2020,05/01/2020,7246,1215,32,2
05/04/2020,03/30/2020,8433,5968,1804,651
05/04/2020,05/03/2020,86,8,0,0
05/04/2020,04/03/2020,9404,5541,1708,617
05/04/2020,03/18/2020,6278,3135,655,172
05/04/2020,04/29/2020,11215,2069,154,9
05/04/2020,04/08/2020,10002,5363,1491,535
05/04/2020,03/07/2020,61,11,7,3
05/04/2020,03/10/2020,456,86,38,9
05/04/2020,04/12/2020,5585,2665,825,272
05/04/2020,04/22/2020,11255,3317,354,71
05/04/2020,04/02/2020,9271,5662,1734,580
05/04/2020,04/18/2020,6421,2059,416,89
