"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 01, 2020","135.30","136.41","138.07","133.98","1.15M","-4.40%"
"Mar 31, 2020","141.53","143.37","144.66","140.74","1.96M","-1.56%"
"Mar 30, 2020","143.77","140.61","144.19","139.35","2.99M","3.05%"
"Mar 28, 2020","139.51","139.51","139.51","139.51","-","0.00%"
"Mar 27, 2020","139.51","139.83","143.58","137.91","2.31M","-3.08%"
"Mar 26, 2020","143.95","137.00","144.52","137.00","1.42M","6.01%"
"Mar 25, 2020","135.79","134.90","141.06","131.88","2.96M","0.85%"
"Mar 24, 2020","134.65","129.82","134.72","129.26","2.79M","9.48%"
"Mar 23, 2020","122.99","125.81","126.28","120.20","2.28M","-2.52%"
"Mar 21, 2020","126.17","126.17","126.17","126.17","-","0.00%"
"Mar 20, 2020","126.17","133.55","135.00","125.74","2.02M","-4.58%"
"Mar 19, 2020","132.22","130.33","135.24","126.57","2.42M","0.04%"
"Mar 18, 2020","132.17","130.97","134.67","124.75","1.94M","-5.44%"
"Mar 17, 2020","139.78","134.16","140.12","129.66","2.02M","6.37%"
"Mar 16, 2020","131.41","134.60","141.18","130.00","2.78M","-11.91%"
"Mar 14, 2020","149.17","149.17","149.17","149.17","-","0.00%"
"Mar 13, 2020","149.17","144.67","149.64","137.40","2.52M","8.88%"
"Mar 12, 2020","137.00","140.83","146.98","133.73","3.23M","-9.52%"
"Mar 11, 2020","151.41","155.25","155.89","149.62","2.36M","-5.08%"
"Mar 10, 2020","159.51","157.54","159.51","151.23","3.06M","4.97%"
"Mar 09, 2020","151.96","154.52","157.25","151.38","1.73M","-7.81%"
"Mar 06, 2020","164.84","162.57","165.52","160.94","3.10M","-1.78%"
"Mar 05, 2020","167.82","169.23","171.03","166.39","1.35M","-3.30%"
"Mar 04, 2020","173.55","170.06","173.64","168.36","1.66M","4.08%"
"Mar 03, 2020","166.75","171.89","174.07","165.16","1.79M","-2.70%"
"Mar 02, 2020","171.38","165.66","171.45","163.46","3.26M","4.35%"
"Feb 28, 2020","164.23","160.20","164.40","158.56","4.42M","-0.67%"
"Feb 27, 2020","165.33","169.51","171.93","165.27","3.37M","-4.42%"
"Feb 26, 2020","172.97","174.49","176.71","172.58","2.80M","-0.48%"
"Feb 25, 2020","173.81","180.20","180.46","173.32","2.30M","-3.06%"
"Feb 24, 2020","179.30","179.61","181.09","178.62","1.87M","-3.28%"
"Feb 21, 2020","185.39","186.58","187.02","184.95","1.24M","-1.07%"
"Feb 20, 2020","187.40","187.68","188.29","185.56","810.40K","-0.35%"
"Feb 19, 2020","188.06","187.73","188.47","187.60","394.61K","0.48%"
"Feb 18, 2020","187.16","186.98","187.33","186.28","832.95K","-0.18%"
"Feb 17, 2020","187.50","187.50","187.50","187.50","-","0.00%"
"Feb 14, 2020","187.50","187.45","187.61","186.80","1.23M","0.18%"
"Feb 13, 2020","187.17","186.40","187.76","186.37","660.17K","-0.07%"
"Feb 12, 2020","187.30","187.06","187.43","186.77","821.52K","0.66%"
"Feb 11, 2020","186.08","186.48","187.04","185.81","479.72K","0.20%"
"Feb 10, 2020","185.71","183.85","185.72","183.85","501.16K","0.74%"
"Feb 07, 2020","184.34","184.65","185.06","183.99","466.80K","-0.50%"
"Feb 06, 2020","185.26","185.42","185.67","184.71","714.20K","0.29%"
"Feb 05, 2020","184.72","184.67","184.85","183.64","506.96K","0.97%"
"Feb 04, 2020","182.95","182.32","183.46","182.15","1.27M","1.58%"
"Feb 03, 2020","180.11","179.37","181.12","179.37","806.98K","0.82%"
"Jan 31, 2020","178.64","181.53","181.57","178.09","1.37M","-1.77%"
"Jan 30, 2020","181.85","180.08","181.98","179.63","1.17M","0.31%"
"Jan 29, 2020","181.29","182.22","182.34","181.18","581.07K","-0.08%"
"Jan 28, 2020","181.44","180.42","181.91","180.14","699.02K","1.03%"
"Jan 27, 2020","179.59","179.35","180.41","178.94","1.22M","-1.52%"
"Jan 24, 2020","182.37","184.54","184.54","181.63","906.88K","-0.92%"
"Jan 23, 2020","184.06","183.52","184.15","182.76","847.56K","0.13%"
"Jan 22, 2020","183.83","184.34","184.79","183.75","2.58M","0.05%"
"Jan 21, 2020","183.74","183.58","184.28","183.25","1.03M","-0.20%"
"Jan 17, 2020","184.11","184.05","184.55","183.68","620.29K","0.28%"
"Jan 16, 2020","183.60","182.92","183.62","182.85","941.52K","0.84%"
"Jan 15, 2020","182.07","181.61","182.61","181.58","558.41K","0.18%"
"Jan 14, 2020","181.74","181.72","182.34","181.37","839.34K","-0.08%"
"Jan 13, 2020","181.89","181.02","181.93","180.76","1.59M","0.73%"
"Jan 10, 2020","180.58","181.56","181.56","180.36","1.12M","-0.28%"
"Jan 09, 2020","181.08","180.96","181.17","180.50","749.46K","0.66%"
"Jan 08, 2020","179.90","179.07","180.64","178.97","1.05M","0.50%"
"Jan 07, 2020","179.01","179.14","179.40","178.70","1.20M","-0.24%"
"Jan 06, 2020","179.44","177.72","179.48","177.24","672.67K","0.35%"
"Jan 03, 2020","178.82","178.00","179.40","178.00","879.77K","-0.63%"
"Jan 02, 2020","179.96","179.28","179.96","178.74","689.78K","0.86%"
