"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 02, 2020","10,341.89","10,386.38","10,432.55","10,328.78","167.92M","0.61%"
"Jul 01, 2020","10,279.25","10,160.41","10,321.77","10,142.75","167.52M","1.21%"
"Jun 30, 2020","10,156.85","9,970.21","10,185.35","9,956.83","231.72M","1.96%"
"Jun 29, 2020","9,961.16","9,850.54","9,965.08","9,742.89","174.38M","1.14%"
"Jun 26, 2020","9,849.36","10,087.08","10,093.98","9,837.74","388.86M","-2.50%"
"Jun 25, 2020","10,101.83","10,003.50","10,110.29","9,901.21","193.36M","0.99%"
"Jun 24, 2020","10,002.70","10,183.77","10,232.42","9,943.24","231.67M","-2.03%"
"Jun 23, 2020","10,209.82","10,192.42","10,306.90","10,172.07","186.84M","0.78%"
"Jun 22, 2020","10,130.33","10,009.00","10,134.64","9,989.49","184.21M","1.22%"
"Jun 19, 2020","10,008.64","10,104.63","10,121.67","9,937.82","500.55M","-0.03%"
"Jun 18, 2020","10,012.05","9,972.35","10,018.56","9,942.11","187.25M","0.30%"
"Jun 17, 2020","9,982.48","9,998.86","10,058.65","9,952.50","182.06M","0.33%"
"Jun 16, 2020","9,949.37","9,983.65","10,010.89","9,801.45","230.08M","1.76%"
"Jun 15, 2020","9,776.89","9,517.14","9,809.41","9,489.58","220.04M","1.17%"
"Jun 12, 2020","9,663.78","9,785.58","9,849.01","9,499.09","248.83M","0.79%"
"Jun 11, 2020","9,588.48","9,907.56","9,978.19","9,586.25","296.60M","-5.01%"
"Jun 10, 2020","10,094.26","10,037.98","10,155.20","10,022.44","220.86M","1.28%"
"Jun 09, 2020","9,967.17","9,861.18","10,006.90","9,859.00","196.90M","0.66%"
"Jun 08, 2020","9,901.52","9,805.69","9,904.51","9,753.87","205.94M","0.79%"
"Jun 05, 2020","9,824.39","9,673.09","9,846.63","9,659.45","264.66M","2.02%"
"Jun 04, 2020","9,629.66","9,672.17","9,741.97","9,577.71","217.35M","-0.77%"
"Jun 03, 2020","9,704.69","9,689.72","9,729.69","9,648.93","199.55M","0.49%"
"Jun 02, 2020","9,657.31","9,603.18","9,660.08","9,511.88","196.14M","0.61%"
"Jun 01, 2020","9,598.89","9,526.43","9,609.38","9,515.34","163.31M","0.45%"
"May 29, 2020","9,555.53","9,440.64","9,573.55","9,379.93","371.13M","1.47%"
"May 28, 2020","9,416.71","9,404.83","9,568.89","9,391.84","198.20M","-0.27%"
"May 27, 2020","9,442.05","9,366.63","9,445.06","9,182.45","223.93M","0.55%"
"May 26, 2020","9,389.98","9,570.53","9,570.53","9,379.90","213.73M","-0.26%"
"May 22, 2020","9,413.99","9,363.67","9,421.93","9,325.07","140.23M","0.38%"
"May 21, 2020","9,377.99","9,487.63","9,515.05","9,361.83","172.11M","-1.13%"
"May 20, 2020","9,485.02","9,415.25","9,498.28","9,412.83","194.16M","2.01%"
"May 19, 2020","9,298.54","9,326.28","9,422.90","9,296.25","191.26M","-0.36%"
"May 18, 2020","9,331.93","9,281.36","9,367.54","9,248.78","223.30M","1.96%"
"May 15, 2020","9,152.64","8,976.29","9,157.46","8,958.08","263.65M","0.64%"
"May 14, 2020","9,094.42","8,946.45","9,097.75","8,860.77","219.79M","1.05%"
"May 13, 2020","9,000.08","9,123.69","9,209.49","8,890.16","225.69M","-1.23%"
"May 12, 2020","9,112.45","9,326.06","9,354.45","9,109.09","178.67M","-2.01%"
"May 11, 2020","9,298.92","9,155.21","9,346.27","9,155.21","175.01M","0.85%"
"May 08, 2020","9,220.35","9,165.70","9,224.49","9,126.97","168.14M","1.30%"
"May 07, 2020","9,101.88","9,104.67","9,136.18","9,045.23","173.28M","1.30%"
"May 06, 2020","8,984.86","8,997.02","9,065.58","8,950.89","166.50M","0.61%"
"May 05, 2020","8,930.62","8,922.39","9,031.00","8,900.57","171.93M","1.09%"
"May 04, 2020","8,834.11","8,683.94","8,840.33","8,665.40","189.30M","1.33%"
"May 01, 2020","8,718.18","8,791.88","8,887.58","8,688.58","221.88M","-3.14%"
"Apr 30, 2020","9,000.51","9,005.24","9,023.03","8,920.42","292.02M","0.20%"
"Apr 29, 2020","8,982.76","8,871.04","9,025.82","8,832.00","260.58M","3.52%"
"Apr 28, 2020","8,677.60","8,913.28","8,918.38","8,668.67","194.82M","-1.81%"
"Apr 27, 2020","8,837.66","8,865.58","8,887.62","8,803.88","171.86M","0.58%"
"Apr 24, 2020","8,786.60","8,666.57","8,791.36","8,599.99","184.54M","1.68%"
"Apr 23, 2020","8,641.50","8,693.73","8,796.49","8,624.63","217.29M","-0.27%"
"Apr 22, 2020","8,664.63","8,575.57","8,708.48","8,550.61","209.20M","3.11%"
"Apr 21, 2020","8,403.00","8,639.74","8,663.09","8,359.84","239.97M","-3.71%"
"Apr 20, 2020","8,726.51","8,742.54","8,855.18","8,725.33","196.29M","-1.20%"
"Apr 17, 2020","8,832.41","8,876.66","8,879.24","8,704.38","292.75M","0.85%"
"Apr 16, 2020","8,757.83","8,689.09","8,793.35","8,605.51","237.93M","1.93%"
"Apr 15, 2020","8,591.96","8,548.47","8,666.24","8,500.56","215.83M","-1.15%"
"Apr 14, 2020","8,692.16","8,489.27","8,708.55","8,470.74","233.39M","4.31%"
"Apr 13, 2020","8,332.74","8,209.68","8,338.15","8,158.58","204.11M","1.14%"
"Apr 09, 2020","8,238.53","8,284.31","8,334.23","8,167.93","259.06M","0.11%"
"Apr 08, 2020","8,229.54","8,134.30","8,254.41","8,058.41","229.17M","2.24%"
"Apr 07, 2020","8,049.31","8,287.47","8,305.59","8,043.07","288.35M","-0.40%"
"Apr 06, 2020","8,081.66","7,819.06","8,110.66","7,763.09","310.17M","7.35%"
"Apr 03, 2020","7,528.11","7,631.57","7,673.49","7,439.78","227.73M","-1.41%"
"Apr 02, 2020","7,635.66","7,445.88","7,641.87","7,432.28","248.65M","2.00%"
"Apr 01, 2020","7,486.29","7,582.78","7,701.67","7,423.97","261.15M","-4.19%"
"Mar 31, 2020","7,813.50","7,855.74","8,011.60","7,765.46","315.42M","-0.96%"
"Mar 30, 2020","7,889.01","7,678.83","7,902.09","7,651.43","247.99M","3.96%"
"Mar 27, 2020","7,588.37","7,657.44","7,817.74","7,580.22","262.61M","-3.91%"
"Mar 26, 2020","7,897.13","7,549.83","7,913.11","7,549.83","326.89M","5.72%"
"Mar 25, 2020","7,469.62","7,543.96","7,777.61","7,390.41","368.48M","-1.11%"
"Mar 24, 2020","7,553.83","7,349.00","7,555.91","7,304.39","395.51M","7.81%"
