"Date","Price","Open","High","Low","Vol.","Change %"
"May 28, 2020","11,804.91","11,935.88","11,939.74","11,783.22","-","-0.28%"
"May 27, 2020","11,837.53","11,787.56","11,837.55","11,602.43","-","2.02%"
"May 26, 2020","11,603.00","11,636.54","11,676.96","11,590.31","-","2.39%"
"May 22, 2020","11,331.97","11,325.08","11,333.65","11,247.29","-","-0.17%"
"May 21, 2020","11,351.60","11,393.92","11,447.26","11,287.43","-","-0.60%"
"May 20, 2020","11,420.04","11,408.61","11,477.33","11,384.36","-","1.52%"
"May 19, 2020","11,248.97","11,374.23","11,409.66","11,248.54","-","-1.34%"
"May 18, 2020","11,402.23","11,282.89","11,454.35","11,282.89","-","4.16%"
"May 15, 2020","10,947.32","10,927.41","10,968.17","10,817.12","-","0.18%"
"May 14, 2020","10,927.41","10,661.93","10,927.85","10,551.55","-","0.90%"
"May 13, 2020","10,829.44","11,035.23","11,038.38","10,747.81","-","-2.05%"
"May 12, 2020","11,055.58","11,332.42","11,343.39","11,055.58","-","-2.00%"
"May 11, 2020","11,281.37","11,244.25","11,345.43","11,205.40","-","-0.64%"
"May 08, 2020","11,354.34","11,281.30","11,360.11","11,237.51","-","2.09%"
"May 07, 2020","11,121.67","11,140.93","11,228.25","11,109.56","-","1.11%"
"May 06, 2020","10,999.99","11,196.87","11,204.53","10,999.99","-","-1.22%"
"May 05, 2020","11,135.40","11,188.97","11,259.20","11,124.69","-","0.72%"
"May 04, 2020","11,056.28","10,965.77","11,061.96","10,900.39","-","-0.02%"
"May 01, 2020","11,058.57","11,158.87","11,187.77","11,011.46","-","-2.76%"
"Apr 30, 2020","11,372.34","11,473.23","11,492.91","11,326.20","-","-2.12%"
"Apr 29, 2020","11,618.23","11,546.40","11,675.30","11,513.08","-","2.64%"
"Apr 28, 2020","11,319.70","11,462.38","11,481.30","11,272.78","-","0.49%"
"Apr 27, 2020","11,264.84","11,106.03","11,301.31","11,086.96","-","2.24%"
"Apr 24, 2020","11,017.90","11,000.70","11,050.01","10,868.93","-","0.93%"
"Apr 23, 2020","10,916.68","10,961.24","11,099.00","10,905.84","-","0.07%"
"Apr 22, 2020","10,908.56","10,919.97","10,955.50","10,844.76","-","1.89%"
"Apr 21, 2020","10,706.44","10,763.67","10,861.79","10,667.29","-","-2.70%"
"Apr 20, 2020","11,003.88","11,016.88","11,181.81","10,985.06","-","-1.82%"
"Apr 17, 2020","11,208.29","11,101.32","11,231.27","11,030.42","-","3.61%"
"Apr 16, 2020","10,818.03","10,882.83","10,891.68","10,718.13","-","-0.24%"
"Apr 15, 2020","10,843.92","10,861.97","10,903.06","10,760.96","-","-2.94%"
"Apr 14, 2020","11,172.20","11,151.16","11,241.23","11,064.63","-","2.03%"
"Apr 13, 2020","10,949.53","11,136.61","11,136.61","10,817.15","-","-1.68%"
